IP,MAC,Vendor,OS,Open Ports,Weak Creds
10.154.8.123,Unknown,Unknown,Unknown OS,"21,22,23,80,443,554",None
10.154.8.98,Unknown,Unknown,Unknown OS,"21,22,23,80,443,554",None
